date,United Kingdom Manufacturing PMI
2022-03-01,55.2
2022-04-01,55.8
2022-05-01,54.6
2022-06-01,52.8
2022-07-01,52.1
2022-08-01,47.3
2022-09-01,48.4
2022-10-01,46.2
2022-11-01,46.5
2022-12-01,45.3
2023-01-01,47.0
2023-02-01,49.3
2023-03-01,47.9
2023-04-01,47.8
2023-05-01,47.1
2023-06-01,46.5
2023-07-01,45.3
2023-08-01,43.0
2023-09-01,44.3
2023-10-01,44.8
2023-11-01,47.2
2023-12-01,46.2
2024-01-01,47.0
2024-02-01,47.5
2024-03-01,50.3
2024-04-01,49.1
2024-05-01,51.2
2024-06-01,50.9
2024-07-01,52.1
2024-08-01,52.5
2024-09-01,51.5
2024-10-01,49.9
2024-11-01,48.0
2024-12-01,47.0
2025-01-01,48.3
2025-02-01,46.9
2025-03-01,44.9
